Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01521,EE_W0001_2,9/20/2021,2021,Fall,2021,Summer,Dayton,0.0015,0.03,0.027,0.0139,1.1,0.12,,24.34,8.03,,187,508.5,101.3,No water flowing from Springcreek or GMR into wetland,Yes,2/16/2022,2/7/2022,9/24/2021,5/23/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01522,EE_W0002_4,9/20/2021,2021,Fall,2021,Summer,Dayton,0.0015,0.335,0.007,0.005,0.646,0.026,,24.38,8.07,,97.1,404,59.23,chl a = 308.86 ug/L,Yes,2/16/2022,2/7/2022,9/24/2021,5/23/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01523,EE_W0003_5,9/20/2021,2021,Fall,2021,Summer,Dayton,0.0015,0.06,0.01,0.005,1.115,0.147,,24.95,8.37,,81.3,364.1,72.94,chl a = 208.03 ug/L,Yes,2/16/2022,2/7/2022,9/24/2021,5/23/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01534,EE_W0007_1,10/18/2021,2021,Fall,2022,Fall,Dayton,0.003,1.618,0.001,0.005,1.62,0.024,,16.8,8.96,,101.6,326.7,38.8,spring creek not flowing into wetland,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01535,EE_W0008_2,10/18/2021,2021,Fall,2022,Fall,Dayton,0.014,1.456,0.01,0.005,1.585,0.02,,16.8,8.14,,137.3,497.2,17.8,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01536,EE_W0006_3,10/18/2021,2021,Fall,2022,Fall,Dayton,0.032,0.078,0.011,0.005,0.493,0.074,,18,9.95,,205.8,198.4,90.8,Small stagnant pool -- No flow between North and South Pools,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01537,EE_W0005_4,10/18/2021,2021,Fall,2022,Fall,Dayton,0.0015,0.945,0.007,0.005,2.857,0.021,,13.4,8.4,,100.7,663,1.43,No water flowing from Springcreek or GMR into wetland,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01538,EE_W0004_5,10/18/2021,2021,Fall,2022,Fall,Dayton,0.0015,0.03,0.008,0.005,0.367,0.039,,16.9,7.9,,118.3,601,5.7,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01544,EE_W0009_1,10/25/2021,2021,Fall,2022,Fall,Dayton,0.177,5.357,0.029,0.005,6.376,0.225,,,,,,367,,High flow but not flowing into wetland; forgot sonde at lab; cond. measured back at lab,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01545,EE_W0010_2,10/25/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.762,0.009,0.005,1.814,0.028,,,,,,460,,forgot sonde at lab; cond. measured back at lab,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01546,EE_W0011_3,10/25/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.69,0.006,0.005,1.7,0.043,,,,,,518,,North Pool flowing into South Pool; forgot sonde at lab; cond. measured back at lab,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
